Name,Occupation,Type,Nationality,Group
Jennie,Singer / Rapper (BLACKPINK),Individual,South Korean
J-Hope,Rapper / Dancer (BTS),Individual,South Korean
Jimin,Singer / Dancer (BTS),Individual,South Korean
Jin,Singer (BTS),Individual,South Korean
Jo Yu-ri,Singer,Individual,South Korean
Jungkook,Singer / Dancer (BTS),Individual,South Korean
Kim Jae-joong,Singer / Actor,Individual,South Korean
Lee Chan-hyuk,Singer-Songwriter (AKMU),Individual,South Korean
Lee Su-hyun,Singer (AKMU),Individual,South Korean
RM,Rapper / Producer (BTS),Individual,South Korean
Seulgi,Singer / Dancer (Red Velvet),Individual,South Korean
Suga,Rapper / Producer (BTS),Individual,South Korean
Taeyeon,Singer (Girls' Generation),Individual,South Korean
Woozi,Singer-Songwriter (Seventeen),Individual,South Korean
Younha,Singer-Songwriter,Individual,South Korean
Youngjae,Singer (GOT7),Individual,South Korean
Hanni,Singer (NewJeans),Individual,Vietnamese-Australian
&TEAM,Boy Group,Group,Japan/Korea
2NE1,Girl Group,Group,South Korean
Aespa,Girl Group,Group,South Korean
AKMU,Sibling Duo,Group,South Korean
Ateez,Boy Group,Group,South Korean
Babymonster,Girl Group,Group,South Korean
BIGBANG,Boy Group,Group,South Korean
BLACKPINK,Girl Group,Group,South Korean
BTS,Boy Group,Group,South Korean
Day6,Band,Group,South Korean
Enhypen,Boy Group,Group,South Korean
Epik High,Hip-hop Trio,Group,South Korean
EXO,Boy Group,Group,South Korean
EXO-K,Boy Group,Unit,South Korean,EXO
EXO-M,Boy Group,Unit,South Korean,EXO
EXO-CBX,Boy Group,Unit,South Korean,EXO
EXO-SC,Boy Group,Unit,South Korean,EXO
Girls' Generation,Girl Group,Group,South Korean
Girls' Generation-TTS,Girl Group,Unit,South Korean,Girls' Generation
Girls' Generation-Oh!GG,Girl Group,Unit,South Korean,Girls' Generation
H.O.T,Boy Group (First-gen),Group,South Korean
Ive,Girl Group,Group,South Korean
Le Sserafim,Girl Group,Group,South Korean
Monsta X,Boy Group,Group,South Korean
NCT,Boy Group (multiple units),Group,South Korean
NCT 127,Boy Group,Unit,South Korean,NCT
NCT Dream,Boy Group,Unit,South Korean,NCT
Way V,Boy Group,Unit,South Korean,NCT
NCT Wish,Boy Group,Unit,South Korean,NCT
NCT U,Boy Group,Unit,South Korean,NCT
NCT DOJAEJUNG,Boy Group,Unit,South Korean,NCT
NewJeans,Girl Group,Group,South Korean
Nmixx,Girl Group,Group,South Korean
Red Velvet,Girl Group,Group,South Korean
Seventeen,Boy Group,Group,South Korean
Stray Kids,Boy Group,Group,South Korean
TWICE,Girl Group,Group,South Korean
Bang Si-hyuk,Executive Producer / HYBE Founder,Individual,South Korean
Bong Joon-ho,Film Director / Screenwriter,Individual,South Korean
Hwang Dong-hyuk,Film Director / Screenwriter,Individual,South Korean
Kim Eun-sook,Screenwriter,Individual,South Korean
Lee Soo-man,Producer / SM Founder,Individual,South Korean
Min Hee-jin,Creative Director / ADOR CEO,Individual,South Korean
Park Chan-wook,Film Director,Individual,South Korean
Hong Sang-soo,Film Director,Individual,South Korean
Jeon Yeo-been,Actress,Individual,South Korean
Lee Young-ji,Rapper / TV Personality,Individual,South Korean
Ryu Jun-yeol,Actor,Individual,South Korean
Wi Ha-jun,Actor,Individual,South Korean
K,Singer / Dancer (&TEAM),Individual,Japanese
Fuma,Rapper / Dancer (&TEAM),Individual,Japanese
Nicholas,Singer / Rapper / Dancer (&TEAM),Individual,Taiwanese
EJ,Dancer / Rapper (&TEAM),Individual,South Korean
Yuma,Singer / Dancer (&TEAM),Individual,Japanese
Jo,Singer / Dancer (&TEAM),Individual,Japanese
Harua,Singer / Dancer (&TEAM),Individual,Japanese
Taki,Dancer / Singer (&TEAM),Individual,Japanese
Maki,Singer (&TEAM),Individual,Japanese-German
Park Bom,Singer (2NE1),Individual,South Korean
Sandara Park,Singer (2NE1),Individual,South Korean
CL,Singer / Rapper / Producer (2NE1),Individual,South Korean
Minzy,Singer (2NE1),Individual,South Korean
Karina,Singer / Rapper / Dancer (aespa),Individual,South Korean
Giselle,Singer / Rapper / Dancer (aespa),Individual,Japanese
Winter,Singer / Rapper / Dancer (aespa),Individual,South Korean
Ningning,Singer / Rapper / Dancer (aespa),Individual,Chinese
Hongjoong,Rapper / Songwriter (ATEEZ),Individual,South Korean
Seongwha,Singer / Rapper / Dancer (ATEEZ),Individual,South Korean
Yunho,Singer / Dancer (ATEEZ),Individual,South Korean
Yeosang,Singer (ATEEZ),Individual,South Korean
San,Singer / Dancer (ATEEZ),Individual,South Korean
Mingi,Rapper / Dancer (ATEEZ),Individual,South Korean
Wooyoung,Singer / Dancer (ATEEZ),Individual,South Korean
Jongho,Singer (ATEEZ),Individual,South Korean
Ruka,Rapper / Dancer / Singer (BABYMONSTER),Individual,Japanese
Pharita,Singer / Dancer (BABYMONSTER),Individual,Thai
Asa,Rapper / Singer / Dancer / Producer (BABYMONSTER),Individual,Japanese
Ahyeon,Singer / Rapper / Dancer (BABYMONSTER),Individual,South Korean
Rami,Singer / Rapper / Dancer (BABYMONSTER),Individual,South Korean
Rora,Singer / Dancer (BABYMONSTER),Individual,South Korean
Chiquita,Singer / Dancer / Rapper (BABYMONSTER),Individual,Thai
G-DRAGON,Rapper / Dancer / Singer / Producer (BIGBANG),Individual,South Korean
Taeyang,Singer / Dancer (BIGBANG),Individual,South Korean
Jisoo,Singer / Dancer (BLACKPINK),Individual,South Korean
Rosé,Singer / Dancer (BLACKPINK),Individual,South Korean-New Zealander
Lisa,Singer / Rapper / Dancer (BLACKPINK),Individual,Thai
V,Singer / Dancer / Rapper (BTS),Individual,South Korean
Sungjin,Singer / Guitar (DAY6),Individual,South Korean
Young K,Singer / Rapper / Producer / Bass (DAY6),Individual,South Korean
Wonpil,Singer / Producer / Keyboard (DAY6),Individual,South Korean
Dowoon,Singer / Drum (DAY6),Individual,South Korean
Jungwon,Singer / Dancer (ENHYPEN),Individual,South Korean
Heeseung,Singer / Dancer (ENHYPEN),Individual,South Korean
Jay,Singer / Rapper / Dancer (ENHYPEN),Individual,South Korean-American
Jake,Singer (ENHYPEN),Individual,South Korean-Australian
Sunghoon,Singer / Dancer (ENHYPEN),Individual,South Korean
Sunoo,Singer (ENHYPEN),Individual,South Korean
Ni-Ki,Singer / Dancer (ENHYPEN),Individual,Japanese
Tablo,Rapper / Producer (Epik High),Individual,Canadian
Mithra,Rapper (Epik High),Individual,South Korean
Tukutz,Producer / DJ (Epik High),Individual,South Korean
Xiumin,Singer / Dancer / Rapper (EXO),Individual,South Korean
Suho,Singer (EXO),Individual,South Korean
Baekhyun,Singer / Dancer (EXO),Individual,South Korean
Chen,Singer / Dancer (EXO),Individual,South Korean
Chanyeol,Rapper / Dancer (EXO),Individual,South Korean
Kai,Dancer / Singer / Rapper (EXO),Individual,South Korean
Sehun,Rapper / Dancer (EXO),Individual,South Korean
Lay,Dancer / Singer (EXO / EXO-M),Individual,Chinese
Sunny,Singer (Girls' Generation),Individual,South Korean-American
Tiffany Young,Singer / Rapper (Girls' Generation),Individual,American
Hyo,Singer / Dancer (Girls' Generation),Individual,South Korean
Yuri,Singer / Dancer (Girls' Generation),Individual,South Korean
Sooyoung,Singer / Dancer (Girls' Generation),Individual,South Korean
Yoona,Dancer / Singer (Girls' Generation),Individual,South Korean
Seohyun,Singer / Dancer (Girls' Generation),Individual,South Korean
Moon Hee-joon,Dancer / Singer / Rapper (H.O.T),Individual,South Korean
Jang Woo-hyuk,Rapper / Dancer (H.O.T),Individual,South Korean
Tony An,Singer / Rapper (H.O.T),Individual,South Korean
Kangta,Singer / Rapper / Dancer / Producer (H.O.T),Individual,South Korean
Lee Jae-won,Rapper (H.O.T),Individual,South Korean
An Yu-jin,Singer / Dancer (IVE),Individual,South Korean
Gaeul,Singer / Rapper / Dancer (IVE),Individual,South Korean
Rei,Rapper / Singer / Dancer (IVE),Individual,Japanese
Jang Won-young,Singer / Dancer (IVE),Individual,South Korean
Liz,Singer / Dancer (IVE),Individual,South Korean
Leeseo,Singer / Rapper / Dancer (IVE),Individual,South Korean
Kim Chae-won,Singer / Dancer (LE SSERAFIM),Individual,South Korean
Sakura,Singer / Dancer (LE SSERAFIM),Individual,Japanese
Huh Yun-jin,Singer / Rapper / Dancer (LE SSERAFIM),Individual,American
Kazuha,Singer / Rapper / Dancer (LE SSERAFIM),Individual,Japanese
Hong Eun-chae,Singer / Rapper / Dancer (LE SSERAFIM),Individual,South Korean
Shownu,Dancer / Singer (MONSTA X),Individual,South Korean
Minhyuk,Singer / Dancer (MONSTA X),Individual,South Korean
Kihyun,Singer / Dancer (MONSTA X),Individual,South Korean
Hyungwon,Singer / Dancer / Producer (MONSTA X),Individual,South Korean
Joohoney,Rapper / Singer / Producer (MONSTA X),Individual,South Korean
I.M,Rapper / Singer / Dancer / Producer (MONSTA X),Individual,South Korean
Minji,Singer / Rapper / Dancer (NewJeans),Individual,South Korean
Danielle,Singer / Dancer (NewJeans),Individual,South Korean-Australian
Haerin,Singer / Dancer (NewJeans),Individual,South Korean
Lily,Singer / Dancer (NMIXX),Individual,South Korean-Australian
Haewon,Singer / Dancer (NMIXX),Individual,South Korean
Sullyoon,Singer / Dancer (NMIXX),Individual,South Korean
Bae,Singer / Dancer (NMIXX),Individual,South Korean
Jiwoo,Singer / Rapper / Dancer (NMIXX),Individual,South Korean
Kyujin,Singer / Rapper / Dancer (NMIXX),Individual,South Korean
Irene,Singer / Rapper / Dancer (Red Velvet),Individual,South Korean
Wendy,Singer / Dancer (Red Velvet),Individual,South Korean
Joy,Singer / Rapper / Dancer (Red Velvet),Individual,South Korean
Yeri,Singer / Rapper / Dancer (Red Velvet),Individual,South Korean
S.Coups,Rapper / Dancer / Singer / Producer (Seventeen),Individual,South Korean
Jeonghan,Singer / Rapper / Dancer (Seventeen),Individual,South Korean
Joshua,Singer / Dancer (Seventeen),Individual,American
Jun,Dancer / Singer (Seventeen),Individual,Chinese
Wonwoo,Rapper / Dancer / Singer (Seventeen),Individual,South Korean
The 8,Dancer / Singer / Rapper (Seventeen),Individual,Chinese
Mingyu,Rapper / Dancer / Singer (Seventeen),Individual,South Korean
DK,Singer / Dancer / Rapper (Seventeen),Individual,South Korean
Seungkwan,Singer / Dancer / Rapper (Seventeen),Individual,South Korean
Vernon,Rapper / Dancer / Singer / Producer (Seventeen),Individual,South Korean-American
Dino,Dancer / Rapper / Singer (Seventeen),Individual,South Korean
Lee Know,Dancer / Singer (Stray Kids),Individual,South Korean
Changbin,Rapper / Singer / Dancer / Producer (Stray Kids),Individual,South Korean
Hyunjin,Dancer / Rapper / Singer (Stray Kids),Individual,South Korean
Han,Rapper / Singer / Dancer / Producer (Stray Kids),Individual,South Korean
Felix,Rapper / Singer / Dancer (Stray Kids),Individual,Australian
Seungmin,Singer / Dancer (Stray Kids),Individual,South Korean
I.N,Singer / Dancer (Stray Kids),Individual,South Korean
Nayeon,Singer / Dancer (TWICE),Individual,South Korean
Jeongyeon,Singer / Dancer (TWICE),Individual,South Korean
Momo,Dancer / Singer / Rapper (TWICE),Individual,Japanese
Sana,Singer / Dancer (TWICE),Individual,Japanese
Jihyo,Singer / Dancer (TWICE),Individual,South Korean
Mina,Singer / Dancer (TWICE),Individual,Japanese
Dahyun,Singer / Rapper / Dancer (TWICE),Individual,South Korean
Chaeyoung,Singer / Rapper / Dancer (TWICE),Individual,South Korean
Tzuyu,Singer / Dancer (TWICE),Individual,Taiwanese
Johnny,Singer / Rapper / Dancer (NCT / NCT 127),Individual,American
Taeyong,Rapper / Dancer / Singer (NCT / NCT 127),Individual,South Korean
Yuta,Singer / Rapper / Dancer (NCT / NCT 127),Individual,Japanese
Doyoung,Singer (NCT / NCT 127),Individual,South Korean
Jaehyun,Singer / Rapper / Dancer (NCT / NCT 127),Individual,South Korean
Winwin,Singer / Rapper / Dancer (NCT / NCT 127 / Way V),Individual,Chinese
Jungwoo,Singer / Dancer (NCT / NCT 127),Individual,South Korean
Mark,Rapper / Dancer / Singer (NCT / NCT 127 / NCT Dream),Individual,Canadian
Haechan,Singer / Dancer (NCT / NCT 127 / NCT Dream),Individual,South Korean
Kun,Singer (NCT / Way V),Individual,Chinese
Ten,Singer / Rapper / Dancer (NCT / Way V),Individual,Thai
Xiaojun,Singer / Dancer (NCT / Way V),Individual,Chinese
Hendery,Rapper (NCT / Way V),Individual,Macao-American
Yangyang,Rapper / Singer / Dancer (NCT / Way V),Individual,Taiwanese
Renjun,Singer / Dancer (NCT / NCT Dream),Individual,Chinese
Jeno,Rapper / Dancer (NCT / NCT Dream),Individual,South Korean
Jaemin,Rapper / Dancer (NCT / NCT Dream),Individual,South Korean
Chenle,Singer / Dancer (NCT / NCT Dream),Individual,Chinese
Jisung,Dancer / Singer / Rapper (NCT / NCT Dream),Individual,South Korean
Sion,Dancer / Singer (NCT / NCT Wish),Individual,South Korean
Riku,Rapper / Dancer (NCT / NCT Wish),Individual,Japanese
Yūshi,Singer / Dancer (NCT / NCT Wish),Individual,Japanese
Jaehee,Singer / Rapper (NCT / NCT Wish),Individual,South Korean
Ryō,Singer / Dancer (NCT / NCT Wish),Individual,Japanese
Sakuya,Rapper / Dancer (NCT / NCT Wish),Individual,Japanese
SHINee,Boy Group,Group,South Korean
Onew,Singer (SHINee),Individual,South Korean
Key,Singer / Rapper / Dancer (SHINee),Individual,South Korean
Minho,Rapper / Singer (SHINee),Individual,South Korean
Taemin,Dancer / Singer (SHINee / SuperM),Individual,South Korean
ALLDAY PROJECT,Mixed Group,Group,South Korean
Annie,Rapper (ALLDAY PROJECT),Individual,South Korean
Tarzzan,Rapper / Dancer (ALLDAY PROJECT),Individual,South Korean
Bailey,Dancer / Rapper (ALLDAY PROJECT),Individual,American
Woochan,Rapper (ALLDAY PROJECT),Individual,South Korean
Youngseo,Singer (ALLDAY PROJECT),Individual,South Korean
fromis_9,Girl Group,Group,South Korean
Song Hayoung,Singer / Dancer (fromis_9),Individual,South Korean
Park Jiwon,Singer (fromis_9),Individual,South Korean
Lee Chaeyoung,Singer / Rapper (fromis_9),Individual,South Korean
Lee Nakyung,Singer (fromis_9),Individual,South Korean
Baek Jiheon,Singer (fromis_9),Individual,South Korean
Chuu,Singer,Individual,South Korean
i-dle,Girl Group,Group,South Korean
Miyeon,Singer (i-dle),Individual,South Korean
Minnie,Singer (i-dle),Individual,Thai
Soyeon,Rapper (i-dle),Individual,South Korean
Yuqi,Dancer / Singer (i-dle),Individual,Chinese
Shuhua,Singer (i-dle),Individual,Taiwanese
ILLIT,Girl Group,Group,South Korean
Yunah,Singer / Dancer (ILLIT),Individual,South Korean
Minju,Singer / Rapper / Dancer (ILLIT),Individual,South Korean
Moka,Singer / Dancer (ILLIT),Individual,Japanese
Wonhee,Singer / Dancer (ILLIT),Individual,South Korean
Iroha,Singer / Dancer (ILLIT),Individual,Japanese
KISS OF LIFE,Girl Group,Group,South Korean
Julie,Rapper / Dancer (KISS OF LIFE),Individual,Korean-American
Natty,Dancer / Singer (KISS OF LIFE),Individual,Thai
Belle,Singer (KISS OF LIFE),Individual,Korean-American
Haneul,Singer (KISS OF LIFE),Individual,South Korean
izna,Girl Group,Group,South Korean
Mai,Singer / Dancer (izna),Individual,Japanese
Bang Jeemin,Singer / Dancer (izna),Individual,South Korean
Koko,Dancer / Rapper (izna),Individual,Japanese
Ryu Sa Rang,Singer / Dancer / Rapper (izna),Individual,South Korean
Choi Jung Eun,Singer / Dancer / Rapper (izna),Individual,South Korean
Jeong Sae Bi,Singer / Dancer (izna),Individual,South Korean
VIVIZ,Girl Group,Group,South Korean
Eunha,Singer / Dancer (VIVIZ),Individual,South Korean
Sinb,Singer / Dancer (VIVIZ),Individual,South Korean
Umji,Singer / Dancer (VIVIZ),Individual,South Korean
FIFTY FIFTY,Girl Group,Group, South Korean
Keena,Rapper / Singer / Dancer (FIFTY FIFTY),Individual,South Korean
Chanelle Moon,Singer / Rapper / Dancer (FIFTY FIFTY),Individual,Korean-American
Yewon,Singer / Dancer (FIFTY FIFTY),Individual,South Korean
Hana,Singer / Dancer (FIFTY FIFTY),Individual,South Korean
Athena,Singer / Dancer / Rapper (FIFTY FIFTY),Individual,Korean-Swedish
THE BOYZ,Boy Group,Group,South Korean
Sangyeon,Singer / Dancer (THE BOYZ),Individual,South Korean
Jacob,Singer / Rapper / Dancer (THE BOYZ),Individual,Canadian
Younghoon,Singer (THE BOYZ),Individual,South Korean
Hyunjae,Singer / Dancer (THE BOYZ),Individual,South Korean
Juyeon,Dancer / Singer (THE BOYZ),Individual,South Korean
Kevin Moon,Singer / Dancer (THE BOYZ),Individual,Canadian
New,Singer (THE BOYZ),Individual,South Korean
Q,Singer / Dancer (THE BOYZ),Individual,South Korean
Sunwoo,Rapper / Singer / Dancer (THE BOYZ),Individual,South Korean
Eric,Rapper / Dancer (THE BOYZ),Individual,South Korean
TREASURE,Boy Group,Group,South Korean
T5,Boy Group,Unit,South Korean,TREASURE
Choi Hyunsuk,Rapper / Dancer / Singer (TREASURE),Individual,South Korean
Jihoon,Singer / Dancer / (TREASURE / T5),Individual,South Korean
Yoshi,Rapper (TREASURE),Individual,South Korean
Junkyu,Singer (TREASURE / T5),Individual,South Korean
Yoon Jaehyuk,Singer / Dancer (TREASURE / T5),Individual,South Korean
Asahi,Singer / Songwriter (TREASURE),Individual,Japanese
Kim Doyoung,Singer / Dancer (TREASURE / T5),Individual,South Korean
Haruto,Rapper (TREASURE),Individual,Japanese
Park Jeong Woo,Singer (TREASURE),Individual,South Korean
So Jung Hwan,Singer / Dancer (TREASURE / T5),Individual,South Korean
ITZY,Girl Group,Group,South Korean
Yeji,Dancer / Singer / Rapper (ITZY),Individual,South Korean
Lia,Singer / Rapper / Dancer (ITZY),Individual,South Korean
Ryujin,Dancer / Rapper / Singer (ITZY),Individual,South Korean
Chaeryeong,Dancer / Singer / Rapper (ITZY),Individual,South Korean
Yuna,Singer / Rapper / Dancer (ITZY),Individual,South Korean
GOT the beat,Girl Group,Group,South Korean
SUPER JUNIOR,Boy Group,Group,South Korean
SUPER JUNIOR-K.R.Y.,Boy Group,Unit,South Korean,SUPER JUNIOR
SUPER JUNIOR-T,Boy Group,Unit,South Korean,SUPER JUNIOR
SUPER JUNIOR-M,Boy Group,Unit,South Korean,SUPER JUNIOR
SUPER JUNIOR-Happy,Boy Group,Unit,South Korean,SUPER JUNIOR
SUPER JUNIOR-D&E,Boy Group,Unit,South Korean,SUPER JUNIOR
SUPER JUNIOR-L.S.S,Boy Group,Unit,South Korean,SUPER JUNIOR
Leeteuk,Singer / Rapper / Dancer (SUPER JUNIOR),Individual,South Korean
Heechul,Singer / Rapper (SUPER JUNIOR),Individual,South Korean
Yesung,Singer / Rapper (SUPER JUNIOR),Individual,South Korean
Shindong,Dancer / Rapper / Singer (SUPER JUNIOR),Individual,South Korean
Eunhyuk,Dancer / Rapper / Singer (SUPER JUNIOR),Individual,South Korean
Siwon,Singer / Dancer (SUPER JUNIOR),Individual,South Korean
Donghae,Singer / Dancer / Rapper (SUPER JUNIOR),Individual,South Korean
Ryeowook,Singer (SUPER JUNIOR),Individual,South Korean
Kyuhyun,Singer / Rapper / Dancer (SUPER JUNIOR),Individual,South Korean
Zhoumi,Singer (SUPER JUNIOR-M),Individual,Chinese
SuperM,Boy Group,Group,South Korean
